net,length_um
_451_,4.42µm
op_a[5],4.39µm
_239_,4.36µm
_067_,4.34µm
_375_,4.34µm
_388_,4.34µm
op_a[0],4.27µm
_137_,4.14µm
_270_,4.14µm
_153_,4.08µm
_316_,4.02µm
_328_,4.02µm
_397_,4.02µm
_414_,4.02µm
_096_,4µm
_339_,3.9µm
_402_,3.88µm
_427_,3.88µm
net23,3.88µm
_063_,3.76µm
_224_,3.76µm
_343_,3.76µm
_450_,3.76µm
_156_,3.68µm
_416_,3.68µm
_027_,3.56µm
_040_,3.54µm
_065_,3.54µm
_223_,3.54µm
_315_,3.52µm
_325_,3.52µm
_167_,3.44µm
_175_,3.44µm
_250_,3.42µm
_262_,3.42µm
_300_,3.42µm
_121_,3.3µm
_437_,3.22µm
_178_,3.18µm
_071_,3.1µm
_377_,3.1µm
_391_,3.1µm
_213_,3.08µm
_025_,2.96µm
_128_,2.96µm
_172_,2.96µm
_207_,2.96µm
_214_,2.96µm
_376_,2.96µm
_231_,2.86µm
_313_,2.84µm
_383_,2.84µm
_221_,2.77µm
_331_,2.76µm
_434_,2.76µm
_218_,2.72µm
_006_,2.64µm
_162_,2.64µm
_126_,2.62µm
_318_,2.62µm
_361_,2.62µm
_238_,2.52µm
_264_,2.52µm
_370_,2.52µm
_191_,2.5µm
_269_,2.5µm
_363_,2.5µm
_364_,2.5µm
_385_,2.5µm
net24,2.5µm
_372_,2.38µm
net89,2.38µm
_163_,2.3µm
_390_,2.3µm
net83,2.3µm
_237_,2.275µm
_070_,2.18µm
_340_,2.18µm
_304_,2.165µm
_005_,2.16µm
_179_,2.16µm
_195_,2.16µm
_200_,2.16µm
_309_,2.16µm
_247_,2.07µm
_009_,2.06µm
_368_,2.06µm
_117_,2.04µm
_421_,2.04µm
net22,2.04µm
_115_,1.84µm
_323_,1.84µm
_154_,1.82µm
_129_,1.72µm
_314_,1.72µm
_059_,1.7µm
_138_,1.7µm
_181_,1.7µm
_244_,1.7µm
net76,1.6µm
_134_,1.26µm
_240_,1.26µm
_299_,1.26µm
_371_,1.26µm
net71,1.26µm
_047_,1.02µm
_146_,0.92µm
_348_,0.92µm
_384_,0.92µm
_277_,0.46µm
_290_,0.46µm
