Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_37_220,VGND,li1,107.6400,114.2400,0.000025
FILLER_37_208,VGND,li1,103.9600,114.2400,0.000025
FILLER_37_197,VGND,li1,97.9800,114.2400,0.000025
FILLER_37_184,VGND,li1,92.9200,114.2400,0.000025
FILLER_37_172,VGND,li1,87.4000,114.2400,0.000025
FILLER_37_167,VGND,li1,82.5700,114.2400,0.000025
FILLER_37_155,VGND,li1,77.2800,114.2400,0.000024
FILLER_37_132,VGND,li1,68.0800,114.2400,0.000023
FILLER_37_128,VGND,li1,64.6300,114.2400,0.000022
FILLER_37_113,VGND,li1,57.9600,114.2400,0.000020
FILLER_37_111,VGND,li1,56.8100,114.2400,0.000020
FILLER_37_81,VGND,li1,43.4700,114.2400,0.000015
FILLER_37_69,VGND,li1,40.0200,114.2400,0.000013
FILLER_37_57,VGND,li1,34.5000,114.2400,0.000010
FILLER_37_53,VGND,li1,30.5900,114.2400,0.000008
FILLER_37_41,VGND,li1,27.1400,114.2400,0.000006
FILLER_37_29,VGND,li1,21.6200,114.2400,0.000005
FILLER_37_27,VGND,li1,18.1700,114.2400,0.000005
FILLER_37_15,VGND,li1,15.1800,114.2400,0.000005
FILLER_37_3,VGND,li1,9.6600,114.2400,0.000005
FILLER_36_218,VGND,li1,107.1800,108.8000,0.000040
FILLER_36_195,VGND,li1,95.4500,108.8000,0.000039
FILLER_36_191,VGND,li1,94.3000,108.8000,0.000039
FILLER_36_177,VGND,li1,87.1700,108.8000,0.000038
FILLER_36_173,VGND,li1,86.0200,108.8000,0.000038
FILLER_36_141,VGND,li1,71.7600,108.8000,0.000034
FILLER_36_139,VGND,li1,69.6900,108.8000,0.000034
FILLER_36_116,VGND,li1,59.1100,108.8000,0.000030
FILLER_36_112,VGND,li1,57.9600,108.8000,0.000029
FILLER_36_100,VGND,li1,54.2800,108.8000,0.000028
FILLER_36_91,VGND,li1,47.6100,108.8000,0.000024
FILLER_36_85,VGND,li1,46.0000,108.8000,0.000024
FILLER_36_83,VGND,li1,43.9300,108.8000,0.000023
FILLER_36_75,VGND,li1,41.8600,108.8000,0.000022
FILLER_36_66,VGND,li1,36.3400,108.8000,0.000018
FILLER_36_58,VGND,li1,34.0400,108.8000,0.000017
FILLER_36_50,VGND,li1,28.9800,108.8000,0.000013
FILLER_36_27,VGND,li1,18.1700,108.8000,0.000014
FILLER_36_21,VGND,li1,16.5600,108.8000,0.000015
FILLER_35_223,VGND,li1,108.3300,108.8000,0.000040
