net,length_um
net64,195.64µm
net50,195.1µm
net58,171.96µm
net41,164.48µm
net43,161.32µm
net38,161.14µm
net66,157.11µm
net60,156.22µm
net17,152.88µm
net55,147.34µm
net59,144.095µm
net46,141.85µm
net34,141.64µm
_440_,141.56µm
net37,140.39µm
net69,134.05µm
net93,126.455µm
net61,123.63µm
net13,122.42µm
net62,120.62µm
net42,120.305µm
net10,115.73µm
net67,115.46µm
net53,114.9µm
_252_,113.5µm
net65,111.42µm
_161_,110.5µm
net7,109.82µm
net40,108.6µm
net52,104.98µm
net35,99.24µm
net56,98.865µm
net36,95.88µm
net44,95.75µm
_263_,95.195µm
_295_,94.48µm
net18,93.25µm
net51,92.71µm
net12,91.12µm
net6,89.86µm
net48,89.06µm
_166_,87.98µm
net30,86.38µm
net8,84.32µm
_174_,83.625µm
_160_,83.44µm
net19,82.84µm
net20,82.8µm
net63,80.28µm
_036_,80.05µm
net92,77.92µm
net54,74.82µm
net29,72.195µm
_157_,71.28µm
_019_,70.66µm
_168_,66.755µm
_159_,60.46µm
net39,57.72µm
net32,56.755µm
net90,55.98µm
net57,55.55µm
_228_,54.54µm
_007_,53.06µm
_033_,51.82µm
net3,49.455µm
_066_,48.84µm
_242_,46.11µm
net82,44.92µm
_425_,44.9µm
net49,44.32µm
_086_,44.02µm
_180_,42.42µm
_090_,42.4µm
net68,42.38µm
net47,42.04µm
_099_,41.92µm
_211_,40.08µm
_403_,40.08µm
_171_,39.2µm
_188_,39.16µm
_152_,38.95µm
net96,38.18µm
_417_,38.055µm
_407_,37.5µm
_271_,37.48µm
_014_,36.5µm
_030_,34.86µm
_061_,34.8µm
_306_,34.78µm
_366_,34.7µm
net1,34.61µm
net16,34.58µm
_382_,34.56µm
net15,34.02µm
net11,33.89µm
_241_,33.78µm
_069_,32.98µm
_076_,32.74µm
_433_,32.46µm
_079_,31.79µm
_444_,31.24µm
_150_,31.14µm
net45,30.885µm
_410_,30.82µm
_443_,30.78µm
_018_,30.22µm
