Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_37_220,VGND,li1,107.6400,114.2400,0.000120
FILLER_37_208,VGND,li1,103.9600,114.2400,0.000120
FILLER_37_197,VGND,li1,97.9800,114.2400,0.000120
FILLER_37_195,VGND,li1,95.4500,114.2400,0.000120
FILLER_37_191,VGND,li1,94.3000,114.2400,0.000120
FILLER_37_179,VGND,li1,90.6200,114.2400,0.000120
FILLER_37_113,VGND,li1,57.9600,114.2400,0.000096
FILLER_37_107,VGND,li1,54.9700,114.2400,0.000089
FILLER_37_98,VGND,li1,51.2900,114.2400,0.000082
FILLER_37_90,VGND,li1,47.8400,114.2400,0.000074
FILLER_37_85,VGND,li1,45.0800,114.2400,0.000069
FILLER_37_83,VGND,li1,43.9300,114.2400,0.000069
FILLER_37_77,VGND,li1,41.6300,114.2400,0.000064
FILLER_37_69,VGND,li1,39.1000,114.2400,0.000058
FILLER_37_57,VGND,li1,34.5000,114.2400,0.000047
FILLER_37_55,VGND,li1,31.0500,114.2400,0.000039
FILLER_37_43,VGND,li1,28.0600,114.2400,0.000032
FILLER_37_36,VGND,li1,22.7700,114.2400,0.000026
FILLER_37_29,VGND,li1,19.3200,114.2400,0.000027
FILLER_37_23,VGND,li1,16.3300,114.2400,0.000027
FILLER_37_15,VGND,li1,14.2600,114.2400,0.000027
FILLER_37_3,VGND,li1,9.6600,114.2400,0.000027
FILLER_36_216,VGND,li1,106.7200,108.8000,0.000132
FILLER_36_201,VGND,li1,98.2100,108.8000,0.000131
FILLER_36_197,VGND,li1,97.0600,108.8000,0.000131
FILLER_36_195,VGND,li1,95.4500,108.8000,0.000131
FILLER_36_184,VGND,li1,91.0800,108.8000,0.000129
FILLER_36_174,VGND,li1,86.2500,108.8000,0.000127
FILLER_36_161,VGND,li1,80.0400,108.8000,0.000124
FILLER_36_138,VGND,li1,69.4600,108.8000,0.000115
FILLER_36_121,VGND,li1,61.6400,108.8000,0.000105
FILLER_36_111,VGND,li1,56.8100,108.8000,0.000099
FILLER_36_105,VGND,li1,55.2000,108.8000,0.000095
FILLER_36_99,VGND,li1,51.2900,108.8000,0.000091
FILLER_36_89,VGND,li1,46.6900,108.8000,0.000083
FILLER_36_85,VGND,li1,45.5400,108.8000,0.000078
FILLER_36_83,VGND,li1,43.9300,108.8000,0.000078
FILLER_36_71,VGND,li1,40.9400,108.8000,0.000068
FILLER_36_63,VGND,li1,34.7300,108.8000,0.000058
FILLER_36_55,VGND,li1,32.6600,108.8000,0.000050
FILLER_36_47,VGND,li1,27.6000,108.8000,0.000041
FILLER_36_29,VGND,li1,19.7800,108.8000,0.000040
FILLER_36_19,VGND,li1,15.6400,108.8000,0.000042
FILLER_36_3,VGND,li1,7.5900,108.8000,0.000045
FILLER_35_223,VGND,li1,108.3300,108.8000,0.000132
FILLER_35_217,VGND,li1,106.7200,108.8000,0.000132
FILLER_35_213,VGND,li1,103.7300,108.8000,0.000132
FILLER_35_209,VGND,li1,102.5800,108.8000,0.000132
FILLER_35_197,VGND,li1,97.9800,108.8000,0.000131
FILLER_35_185,VGND,li1,93.3800,108.8000,0.000130
FILLER_35_177,VGND,li1,87.4000,108.8000,0.000128
FILLER_35_169,VGND,li1,85.1000,108.8000,0.000127
FILLER_35_164,VGND,li1,81.8800,108.8000,0.000125
FILLER_35_150,VGND,li1,74.7500,108.8000,0.000121
FILLER_35_113,VGND,li1,58.4200,108.8000,0.000102
FILLER_35_108,VGND,li1,56.1200,108.8000,0.000099
FILLER_35_94,VGND,li1,48.9900,108.8000,0.000087
FILLER_35_82,VGND,li1,43.4700,108.8000,0.000074
FILLER_35_57,VGND,li1,33.1200,108.8000,0.000050
FILLER_35_55,VGND,li1,31.0500,108.8000,0.000046
FILLER_35_51,VGND,li1,29.9000,108.8000,0.000046
FILLER_35_30,VGND,li1,19.5500,108.8000,0.000040
FILLER_35_26,VGND,li1,18.4000,108.8000,0.000041
FILLER_35_6,VGND,li1,9.2000,108.8000,0.000045
FILLER_34_221,VGND,li1,107.8700,103.3600,0.000054
FILLER_34_209,VGND,li1,104.4200,103.3600,0.000054
FILLER_34_197,VGND,li1,97.9800,103.3600,0.000054
FILLER_34_193,VGND,li1,94.9900,103.3600,0.000053
FILLER_34_185,VGND,li1,92.4600,103.3600,0.000053
FILLER_34_173,VGND,li1,86.4800,103.3600,0.000052
FILLER_34_168,VGND,li1,83.0300,103.3600,0.000051
FILLER_34_160,VGND,li1,80.9600,103.3600,0.000050
FILLER_34_150,VGND,li1,74.7500,103.3600,0.000048
FILLER_34_129,VGND,li1,65.7800,103.3600,0.000044
FILLER_34_115,VGND,li1,59.3400,103.3600,0.000041
FILLER_34_103,VGND,li1,55.6600,103.3600,0.000038
FILLER_34_89,VGND,li1,46.6900,103.3600,0.000033
FILLER_34_85,VGND,li1,45.5400,103.3600,0.000031
FILLER_34_83,VGND,li1,43.9300,103.3600,0.000031
FILLER_34_79,VGND,li1,42.0900,103.3600,0.000030
FILLER_34_73,VGND,li1,40.4800,103.3600,0.000028
FILLER_34_65,VGND,li1,36.3400,103.3600,0.000025
FILLER_34_53,VGND,li1,32.6600,103.3600,0.000022
FILLER_34_41,VGND,li1,27.1400,103.3600,0.000018
FILLER_34_29,VGND,li1,21.6200,103.3600,0.000019
FILLER_34_27,VGND,li1,18.1700,103.3600,0.000021
FILLER_34_21,VGND,li1,15.4100,103.3600,0.000023
FILLER_34_14,VGND,li1,12.1900,103.3600,0.000025
FILLER_34_3,VGND,li1,7.5900,103.3600,0.000025
FILLER_33_216,VGND,li1,106.7200,103.3600,0.000054
FILLER_33_203,VGND,li1,99.5900,103.3600,0.000054
FILLER_33_191,VGND,li1,96.1400,103.3600,0.000053
FILLER_33_149,VGND,li1,76.8200,103.3600,0.000049
FILLER_33_137,VGND,li1,71.3000,103.3600,0.000047
FILLER_33_125,VGND,li1,65.7800,103.3600,0.000044
FILLER_33_113,VGND,li1,60.2600,103.3600,0.000041
FILLER_33_111,VGND,li1,56.8100,103.3600,0.000038
FILLER_33_105,VGND,li1,55.2000,103.3600,0.000038
FILLER_33_93,VGND,li1,51.0600,103.3600,0.000035
FILLER_33_81,VGND,li1,45.5400,103.3600,0.000031
FILLER_33_69,VGND,li1,40.0200,103.3600,0.000028
FILLER_33_57,VGND,li1,34.5000,103.3600,0.000024
FILLER_33_48,VGND,li1,29.4400,103.3600,0.000020
FILLER_33_39,VGND,li1,24.3800,103.3600,0.000016
FILLER_33_27,VGND,li1,20.7000,103.3600,0.000019
FILLER_33_23,VGND,li1,16.3300,103.3600,0.000023
FILLER_33_13,VGND,li1,11.7300,103.3600,0.000025
FILLER_33_3,VGND,li1,7.5900,103.3600,0.000025
FILLER_32_217,VGND,li1,105.5700,97.9200,0.000162
FILLER_32_205,VGND,li1,102.5800,97.9200,0.000160
FILLER_32_185,VGND,li1,91.3100,97.9200,0.000150
FILLER_32_178,VGND,li1,88.0900,97.9200,0.000147
FILLER_32_172,VGND,li1,85.1000,97.9200,0.000143
FILLER_32_166,VGND,li1,82.3400,97.9200,0.000140
FILLER_32_153,VGND,li1,77.2800,97.9200,0.000133
FILLER_32_141,VGND,li1,73.1400,97.9200,0.000125
FILLER_32_139,VGND,li1,69.6900,97.9200,0.000122
FILLER_32_119,VGND,li1,63.0200,97.9200,0.000112
FILLER_32_109,VGND,li1,56.5800,97.9200,0.000100
FILLER_32_97,VGND,li1,52.9000,97.9200,0.000095
FILLER_32_85,VGND,li1,47.3800,97.9200,0.000082
FILLER_32_83,VGND,li1,43.9300,97.9200,0.000076
FILLER_32_75,VGND,li1,41.8600,97.9200,0.000072
FILLER_32_70,VGND,li1,38.1800,97.9200,0.000064
FILLER_32_51,VGND,li1,29.9000,97.9200,0.000045
FILLER_32_41,VGND,li1,24.8400,97.9200,0.000029
FILLER_32_29,VGND,li1,21.6200,97.9200,0.000030
FILLER_32_27,VGND,li1,18.1700,97.9200,0.000030
FILLER_32_23,VGND,li1,17.0200,97.9200,0.000030
FILLER_32_11,VGND,li1,13.3400,97.9200,0.000031
FILLER_32_3,VGND,li1,7.1300,97.9200,0.000032
FILLER_31_211,VGND,li1,102.8100,97.9200,0.000160
FILLER_31_195,VGND,li1,96.1400,97.9200,0.000153
FILLER_31_183,VGND,li1,92.4600,97.9200,0.000150
FILLER_31_169,VGND,li1,85.1000,97.9200,0.000143
FILLER_31_160,VGND,li1,80.9600,97.9200,0.000137
FILLER_31_139,VGND,li1,69.6900,97.9200,0.000122
FILLER_31_135,VGND,li1,68.5400,97.9200,0.000119
FILLER_31_129,VGND,li1,65.0900,97.9200,0.000115
FILLER_31_123,VGND,li1,63.4800,97.9200,0.000112
FILLER_31_113,VGND,li1,57.7300,97.9200,0.000103
FILLER_31_111,VGND,li1,56.8100,97.9200,0.000100
FILLER_31_87,VGND,li1,46.9200,97.9200,0.000082
FILLER_31_63,VGND,li1,34.7300,97.9200,0.000056
FILLER_31_57,VGND,li1,33.1200,97.9200,0.000050
FILLER_31_39,VGND,li1,24.1500,97.9200,0.000029
FILLER_31_27,VGND,li1,20.7000,97.9200,0.000030
FILLER_31_15,VGND,li1,15.1800,97.9200,0.000031
FILLER_31_3,VGND,li1,9.6600,97.9200,0.000032
FILLER_30_197,VGND,li1,98.9000,92.4800,0.000089
FILLER_30_194,VGND,li1,95.2200,92.4800,0.000086
FILLER_30_186,VGND,li1,92.9200,92.4800,0.000085
FILLER_30_174,VGND,li1,88.3200,92.4800,0.000082
FILLER_30_162,VGND,li1,82.8000,92.4800,0.000078
FILLER_30_157,VGND,li1,77.9700,92.4800,0.000075
FILLER_30_151,VGND,li1,76.3600,92.4800,0.000073
FILLER_30_141,VGND,li1,71.3000,92.4800,0.000070
FILLER_30_137,VGND,li1,69.2300,92.4800,0.000068
FILLER_30_124,VGND,li1,62.7900,92.4800,0.000063
FILLER_30_120,VGND,li1,60.9500,92.4800,0.000061
FILLER_30_112,VGND,li1,57.2700,92.4800,0.000058
FILLER_30_104,VGND,li1,53.5900,92.4800,0.000053
FILLER_30_93,VGND,li1,48.9900,92.4800,0.000049
FILLER_30_85,VGND,li1,46.4600,92.4800,0.000045
FILLER_30_81,VGND,li1,43.4700,92.4800,0.000043
FILLER_30_67,VGND,li1,37.0300,92.4800,0.000035
FILLER_30_55,VGND,li1,33.5800,92.4800,0.000031
FILLER_30_29,VGND,li1,20.7000,92.4800,0.000021
FILLER_29_220,VGND,li1,107.6400,92.4800,0.000092
FILLER_29_200,VGND,li1,100.2800,92.4800,0.000089
FILLER_29_188,VGND,li1,94.7600,92.4800,0.000086
FILLER_29_169,VGND,li1,85.1000,92.4800,0.000080
FILLER_29_167,VGND,li1,82.5700,92.4800,0.000078
FILLER_29_151,VGND,li1,75.4400,92.4800,0.000073
