net,length_um
net64,208.965µm
net50,193.57µm
net52,178.18µm
net58,168.55µm
net43,162.68µm
net17,161.79µm
net38,157.92µm
net60,154.84µm
net66,153.88µm
net41,153.8µm
net55,148.635µm
net46,147.1µm
net59,140.8µm
_440_,138.12µm
net37,137.55µm
net34,135.89µm
net62,126.27µm
net69,123.745µm
net61,123.26µm
net48,122.07µm
net13,121.96µm
net42,118.09µm
net53,118.02µm
net65,115.7µm
net10,115.39µm
_161_,113.92µm
net54,113.66µm
net67,113.27µm
_252_,112.25µm
net7,110.28µm
net40,107.36µm
net35,104.18µm
net56,101.93µm
net12,98.01µm
net44,97.6µm
net29,93.905µm
net36,93.46µm
_295_,92.84µm
net51,92.56µm
net18,89.715µm
_444_,89.66µm
net6,89.63µm
net8,85.24µm
_263_,83.98µm
_166_,83.575µm
net19,82.5µm
net20,81.78µm
_160_,81.48µm
_174_,81.425µm
net30,80.6µm
_019_,77.94µm
net63,77.88µm
_036_,75.46µm
_157_,75µm
_168_,67.505µm
_159_,60.48µm
net39,58.48µm
net57,55.96µm
net32,54.525µm
_033_,52.74µm
_007_,51.19µm
_066_,50.26µm
_228_,47.18µm
net3,44.305µm
net47,44.3µm
_242_,44.15µm
net49,43.98µm
_090_,43.825µm
_086_,42.52µm
_180_,42.42µm
_211_,40.08µm
net11,39.4µm
_099_,39.18µm
net68,39.06µm
_152_,38.95µm
_443_,38.86µm
_188_,38.77µm
_417_,38.62µm
_407_,37.5µm
_423_,36.72µm
_171_,35.76µm
_271_,35.76µm
_030_,35.7µm
_382_,35.36µm
_433_,35.34µm
_061_,35.14µm
_366_,34.7µm
net16,34.58µm
net15,34.02µm
_150_,33.9µm
_241_,33.78µm
_403_,33.64µm
net1,33.06µm
_014_,31.8µm
_003_,30.76µm
_018_,30.56µm
net45,29.695µm
_260_,29.66µm
net14,29.38µm
_095_,29.14µm
_076_,29.06µm
_409_,28.42µm
_306_,28.27µm
_151_,28.24µm
_255_,28.12µm
_408_,27.98µm
net5,27.22µm
_004_,27.2µm
_104_,26.98µm
_069_,26.82µm
_015_,26.64µm
net2,26.32µm
_425_,26.02µm
_092_,25.98µm
net26,25.96µm
_446_,25.5µm
_319_,25.4µm
_081_,25.2µm
_400_,24.9µm
net9,24.74µm
_210_,24.545µm
_455_,24.14µm
_127_,23.88µm
_453_,23.855µm
_012_,23.82µm
_373_,23.8µm
_303_,23.72µm
_392_,23.02µm
_101_,22.94µm
_098_,22.705µm
_298_,22.68µm
_008_,22.665µm
_394_,22.4µm
net25,22.3µm
_192_,22.18µm
_165_,22.02µm
_013_,21.42µm
_369_,21.36µm
_219_,21.06µm
_292_,20.88µm
_415_,19.4µm
_410_,19.38µm
_266_,19.36µm
_042_,19.34µm
_043_,19.29µm
_079_,19.25µm
_199_,19.12µm
_002_,19.02µm
_286_,18.58µm
net21,18.5µm
_357_,18.44µm
_158_,18.275µm
_187_,18.26µm
_044_,17.98µm
_058_,17.98µm
_205_,17.88µm
_147_,17.78µm
_050_,17.64µm
_022_,17.5µm
_422_,17.4µm
_258_,17.355µm
_064_,16.88µm
_413_,16.84µm
_418_,16.82µm
_087_,16.74µm
_000_,16.6µm
_275_,16.44µm
_282_,16.26µm
_212_,16.22µm
_109_,16.14µm
_216_,16.1µm
_091_,15.98µm
_001_,15.92µm
_222_,15.92µm
_447_,15.92µm
_110_,15.88µm
_338_,15.785µm
_428_,15.7µm
_329_,15.64µm
_209_,15.52µm
_249_,15.44µm
_412_,15.42µm
_097_,15.4µm
_312_,15.36µm
_062_,15.34µm
_381_,15.315µm
_289_,15.175µm
_288_,15.08µm
net31,14.84µm
_112_,14.82µm
_035_,14.64µm
_310_,14.56µm
_354_,14.56µm
_206_,14.4µm
_367_,14.24µm
_083_,14.22µm
_093_,14µm
_452_,14µm
_280_,13.96µm
_072_,13.9µm
_344_,13.86µm
_082_,13.82µm
_182_,13.76µm
_349_,13.76µm
_021_,13.71µm
_053_,13.68µm
_074_,13.64µm
_261_,13.42µm
_337_,13.34µm
_358_,13.34µm
_454_,13.34µm
_039_,13.16µm
_253_,13.12µm
_284_,13.1µm
_322_,12.94µm
_232_,12.62µm
_088_,12.52µm
op_a[7],12.5µm
_184_,12.44µm
_350_,12.42µm
_051_,12.38µm
_278_,12.34µm
_426_,12.28µm
_283_,12.1µm
_272_,12.08µm
inst[2],12.04µm
_034_,11.96µm
_297_,11.92µm
_274_,11.86µm
_169_,11.82µm
_194_,11.68µm
_105_,11.38µm
_203_,11.33µm
_431_,11.32µm
_075_,11.3µm
_448_,11.3µm
_365_,11.28µm
_145_,11.245µm
_055_,11.2µm
_148_,11.2µm
_305_,11.16µm
_185_,11.14µm
_116_,11µm
_456_,10.9µm
_279_,10.86µm
net4,10.86µm
_052_,10.66µm
_317_,10.58µm
_177_,10.56µm
_301_,10.56µm
inst[1],10.54µm
_136_,10.5µm
