Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_43_253,VPWR,li1,123.2800,127.8400,1.799892
FILLER_43_249,VPWR,li1,120.7500,127.8400,1.799892
FILLER_43_237,VPWR,li1,117.3000,127.8400,1.799892
FILLER_43_225,VPWR,li1,111.7800,127.8400,1.799892
FILLER_43_221,VPWR,li1,107.8700,127.8400,1.799893
FILLER_43_213,VPWR,li1,105.3400,127.8400,1.799893
FILLER_43_197,VPWR,li1,96.6000,127.8400,1.799894
FILLER_43_175,VPWR,li1,86.7100,127.8400,1.799897
FILLER_43_167,VPWR,li1,82.5700,127.8400,1.799900
FILLER_43_161,VPWR,li1,80.2700,127.8400,1.799901
FILLER_43_153,VPWR,li1,76.8200,127.8400,1.799905
FILLER_43_147,VPWR,li1,73.8300,127.8400,1.799906
FILLER_43_141,VPWR,li1,70.8400,127.8400,1.799908
FILLER_43_134,VPWR,li1,67.6200,127.8400,1.799913
FILLER_43_109,VPWR,li1,56.3500,127.8400,1.799927
FILLER_43_97,VPWR,li1,52.9000,127.8400,1.799932
FILLER_43_85,VPWR,li1,47.3800,127.8400,1.799941
FILLER_43_81,VPWR,li1,43.4700,127.8400,1.799950
FILLER_43_69,VPWR,li1,40.0200,127.8400,1.799954
FILLER_43_57,VPWR,li1,34.5000,127.8400,1.799963
FILLER_43_53,VPWR,li1,30.5900,127.8400,1.799969
FILLER_43_41,VPWR,li1,27.1400,127.8400,1.799975
FILLER_43_29,VPWR,li1,21.6200,127.8400,1.799984
FILLER_43_27,VPWR,li1,18.1700,127.8400,1.799984
FILLER_43_15,VPWR,li1,15.1800,127.8400,1.799984
FILLER_43_3,VPWR,li1,9.6600,127.8400,1.799984
FILLER_42_256,VPWR,li1,123.9700,127.8400,1.799892
FILLER_42_245,VPWR,li1,118.6800,127.8400,1.799892
FILLER_42_240,VPWR,li1,116.3800,127.8400,1.799892
FILLER_42_228,VPWR,li1,113.1600,127.8400,1.799892
FILLER_42_216,VPWR,li1,107.6400,127.8400,1.799893
FILLER_42_182,VPWR,li1,89.4700,127.8400,1.799896
FILLER_42_178,VPWR,li1,88.3200,127.8400,1.799897
FILLER_42_157,VPWR,li1,77.9700,127.8400,1.799903
