Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_43_253,VGND,li1,123.2800,130.5600,0.000074
FILLER_43_249,VGND,li1,120.7500,130.5600,0.000074
FILLER_43_237,VGND,li1,117.3000,130.5600,0.000074
FILLER_43_225,VGND,li1,111.7800,130.5600,0.000074
FILLER_43_221,VGND,li1,107.8700,130.5600,0.000074
FILLER_43_213,VGND,li1,105.3400,130.5600,0.000074
FILLER_43_197,VGND,li1,96.6000,130.5600,0.000074
FILLER_43_175,VGND,li1,86.7100,130.5600,0.000072
FILLER_43_167,VGND,li1,82.5700,130.5600,0.000070
FILLER_43_161,VGND,li1,80.2700,130.5600,0.000069
FILLER_43_153,VGND,li1,76.8200,130.5600,0.000067
FILLER_43_147,VGND,li1,73.8300,130.5600,0.000065
FILLER_43_141,VGND,li1,70.8400,130.5600,0.000064
FILLER_43_134,VGND,li1,67.6200,130.5600,0.000062
FILLER_43_109,VGND,li1,56.3500,130.5600,0.000050
FILLER_43_97,VGND,li1,52.9000,130.5600,0.000046
FILLER_43_85,VGND,li1,47.3800,130.5600,0.000039
FILLER_43_81,VGND,li1,43.4700,130.5600,0.000035
FILLER_43_69,VGND,li1,40.0200,130.5600,0.000030
FILLER_43_57,VGND,li1,34.5000,130.5600,0.000024
FILLER_43_53,VGND,li1,30.5900,130.5600,0.000019
FILLER_43_41,VGND,li1,27.1400,130.5600,0.000015
FILLER_43_29,VGND,li1,21.6200,130.5600,0.000012
FILLER_43_27,VGND,li1,18.1700,130.5600,0.000012
FILLER_43_15,VGND,li1,15.1800,130.5600,0.000012
FILLER_43_3,VGND,li1,9.6600,130.5600,0.000012
FILLER_42_256,VGND,li1,123.9700,125.1200,0.000063
FILLER_42_245,VGND,li1,118.6800,125.1200,0.000063
FILLER_42_240,VGND,li1,116.3800,125.1200,0.000063
FILLER_42_228,VGND,li1,113.1600,125.1200,0.000062
FILLER_42_216,VGND,li1,107.6400,125.1200,0.000062
FILLER_42_182,VGND,li1,89.4700,125.1200,0.000057
FILLER_42_178,VGND,li1,88.3200,125.1200,0.000057
FILLER_42_157,VGND,li1,77.9700,125.1200,0.000052
FILLER_42_153,VGND,li1,76.8200,125.1200,0.000052
FILLER_42_141,VGND,li1,73.1400,125.1200,0.000050
FILLER_42_138,VGND,li1,69.4600,125.1200,0.000047
FILLER_42_131,VGND,li1,66.2400,125.1200,0.000046
FILLER_42_117,VGND,li1,59.8000,125.1200,0.000042
FILLER_42_109,VGND,li1,56.1200,125.1200,0.000039
FILLER_42_97,VGND,li1,52.9000,125.1200,0.000036
FILLER_42_85,VGND,li1,47.3800,125.1200,0.000032
FILLER_42_83,VGND,li1,43.9300,125.1200,0.000029
FILLER_42_77,VGND,li1,42.3200,125.1200,0.000027
FILLER_42_65,VGND,li1,38.1800,125.1200,0.000023
FILLER_42_53,VGND,li1,32.6600,125.1200,0.000018
FILLER_42_41,VGND,li1,27.1400,125.1200,0.000012
FILLER_42_29,VGND,li1,21.6200,125.1200,0.000010
FILLER_42_27,VGND,li1,18.1700,125.1200,0.000010
FILLER_42_15,VGND,li1,15.1800,125.1200,0.000010
FILLER_42_3,VGND,li1,9.6600,125.1200,0.000010
FILLER_41_257,VGND,li1,124.2000,125.1200,0.000063
FILLER_41_240,VGND,li1,116.1500,125.1200,0.000063
FILLER_41_205,VGND,li1,100.0500,125.1200,0.000060
FILLER_41_184,VGND,li1,91.0800,125.1200,0.000058
FILLER_41_153,VGND,li1,76.5900,125.1200,0.000052
FILLER_41_141,VGND,li1,73.1400,125.1200,0.000050
FILLER_41_119,VGND,li1,60.7200,125.1200,0.000042
FILLER_41_75,VGND,li1,40.2500,125.1200,0.000025
FILLER_41_69,VGND,li1,38.6400,125.1200,0.000023
FILLER_41_57,VGND,li1,34.5000,125.1200,0.000019
FILLER_41_55,VGND,li1,31.0500,125.1200,0.000015
FILLER_41_51,VGND,li1,29.9000,125.1200,0.000015
FILLER_41_39,VGND,li1,26.2200,125.1200,0.000010
FILLER_41_27,VGND,li1,20.7000,125.1200,0.000010
FILLER_41_15,VGND,li1,15.1800,125.1200,0.000010
FILLER_41_3,VGND,li1,9.6600,125.1200,0.000010
FILLER_40_241,VGND,li1,117.0700,119.6800,0.000045
FILLER_40_229,VGND,li1,111.7800,119.6800,0.000044
FILLER_40_217,VGND,li1,108.1000,119.6800,0.000044
FILLER_40_195,VGND,li1,95.4500,119.6800,0.000042
FILLER_40_191,VGND,li1,94.3000,119.6800,0.000042
FILLER_40_179,VGND,li1,90.6200,119.6800,0.000041
FILLER_40_141,VGND,li1,73.1400,119.6800,0.000037
FILLER_40_119,VGND,li1,61.6400,119.6800,0.000031
FILLER_40_107,VGND,li1,57.5000,119.6800,0.000029
FILLER_40_102,VGND,li1,52.9000,119.6800,0.000027
FILLER_40_94,VGND,li1,48.9900,119.6800,0.000023
FILLER_40_88,VGND,li1,47.3800,119.6800,0.000023
FILLER_40_83,VGND,li1,43.9300,119.6800,0.000021
FILLER_40_77,VGND,li1,42.3200,119.6800,0.000019
FILLER_40_65,VGND,li1,38.1800,119.6800,0.000017
FILLER_40_53,VGND,li1,32.6600,119.6800,0.000013
FILLER_40_41,VGND,li1,27.1400,119.6800,0.000009
FILLER_40_29,VGND,li1,21.6200,119.6800,0.000007
FILLER_40_27,VGND,li1,18.1700,119.6800,0.000007
FILLER_40_15,VGND,li1,15.1800,119.6800,0.000007
FILLER_40_3,VGND,li1,9.6600,119.6800,0.000007
FILLER_39_256,VGND,li1,123.9700,119.6800,0.000045
FILLER_39_244,VGND,li1,120.5200,119.6800,0.000045
FILLER_39_232,VGND,li1,115.0000,119.6800,0.000045
FILLER_39_225,VGND,li1,109.9400,119.6800,0.000044
FILLER_39_223,VGND,li1,108.3300,119.6800,0.000044
FILLER_39_212,VGND,li1,103.2700,119.6800,0.000044
FILLER_39_206,VGND,li1,101.6600,119.6800,0.000043
FILLER_39_194,VGND,li1,97.5200,119.6800,0.000043
FILLER_39_177,VGND,li1,87.8600,119.6800,0.000041
FILLER_39_162,VGND,li1,81.4200,119.6800,0.000039
FILLER_39_134,VGND,li1,67.8500,119.6800,0.000034
FILLER_39_125,VGND,li1,64.4000,119.6800,0.000032
FILLER_39_113,VGND,li1,60.2600,119.6800,0.000031
FILLER_39_111,VGND,li1,56.8100,119.6800,0.000028
FILLER_39_102,VGND,li1,53.3600,119.6800,0.000027
FILLER_39_90,VGND,li1,49.6800,119.6800,0.000025
FILLER_39_77,VGND,li1,41.1700,119.6800,0.000019
FILLER_39_69,VGND,li1,39.1000,119.6800,0.000017
FILLER_39_57,VGND,li1,34.5000,119.6800,0.000014
FILLER_39_55,VGND,li1,31.0500,119.6800,0.000011
FILLER_39_51,VGND,li1,29.9000,119.6800,0.000011
FILLER_39_39,VGND,li1,26.2200,119.6800,0.000007
