net,length_um
net33,296.53µm
net35,252.395µm
net37,246.66µm
net34,231.125µm
net20,230.73µm
net11,220.535µm
net36,201.12µm
net17,199.68µm
net8,195.3µm
net10,183.58µm
net29,181.68µm
net31,176.8µm
net40,175.62µm
net15,161.9µm
net16,150.24µm
_242_,147.7µm
net18,145.06µm
net13,143.08µm
net6,140.585µm
_188_,136.23µm
net32,132.215µm
net5,127.28µm
net30,126.78µm
net39,126.7µm
net38,126.1µm
_295_,123.72µm
net9,123.57µm
net19,122.76µm
net12,117.725µm
_161_,113.7µm
_440_,106.92µm
_099_,105.18µm
_252_,105.16µm
_160_,104.48µm
_263_,102.8µm
_168_,101.09µm
_165_,90.375µm
_174_,89.25µm
_444_,86.54µm
_157_,83.26µm
_166_,82.3µm
_061_,77.56µm
net7,77.17µm
_007_,64.94µm
_159_,61.6µm
_400_,55.06µm
net4,51.36µm
_408_,48.94µm
_033_,48.885µm
_090_,48.16µm
_403_,48.16µm
_086_,47.84µm
_271_,47.66µm
_036_,44.12µm
_409_,44µm
_423_,43.58µm
_104_,43.04µm
_443_,42.5µm
net3,42.5µm
_019_,41.38µm
_314_,41.28µm
_151_,40.72µm
_030_,39.18µm
_305_,38.02µm
_069_,37.72µm
net1,37.64µm
_446_,36.24µm
_066_,35.32µm
_105_,35.17µm
_180_,34.42µm
_241_,33.34µm
_152_,32.96µm
_018_,32.54µm
_079_,32.14µm
_171_,31.48µm
_306_,31.38µm
_382_,31.34µm
net2,31.3µm
_357_,31.08µm
_150_,30.88µm
_014_,30.74µm
_422_,29.52µm
_366_,29.48µm
_004_,29.1µm
_392_,28.82µm
_407_,28.26µm
_211_,28.04µm
_433_,27.98µm
_072_,27.84µm
_206_,27.5µm
_210_,27.04µm
_327_,26.61µm
_012_,26.52µm
net14,24.7µm
_042_,24.54µm
_088_,24.52µm
_292_,24.5µm
_212_,24.38µm
_003_,24.06µm
_386_,23.54µm
net26,23.38µm
_425_,22.96µm
_410_,22.76µm
_453_,22.73µm
_284_,22.72µm
_415_,22.58µm
_428_,22.56µm
_127_,22.54µm
_289_,22.16µm
_095_,21.94µm
_081_,21.36µm
_021_,21.3µm
_008_,21.06µm
_320_,20.9µm
_039_,20.84µm
_015_,20.76µm
_255_,20.64µm
_076_,20.46µm
_082_,20.4µm
_354_,20.28µm
_044_,20.2µm
net25,20.1µm
_017_,20.08µm
_182_,20.02µm
_243_,19.84µm
_052_,19.66µm
_108_,19.62µm
_454_,19.595µm
_328_,19.52µm
_194_,19.26µm
_317_,19µm
_228_,18.94µm
_193_,18.9µm
_312_,18.815µm
_272_,18.36µm
_155_,18.34µm
_064_,18.14µm
_258_,18.11µm
_083_,17.9µm
_310_,17.5µm
_031_,17.48µm
_158_,17.14µm
_417_,17.12µm
_203_,17.1µm
_110_,16.92µm
_187_,16.9µm
_429_,16.84µm
_053_,16.8µm
_301_,16.68µm
_141_,16.5µm
_288_,16.44µm
_338_,16.32µm
_278_,16.28µm
_341_,16.22µm
_043_,16.07µm
_147_,16.06µm
inst[2],16.06µm
net24,16.02µm
op_out[2],15.82µm
_002_,15.8µm
_412_,15.78µm
_035_,15.58µm
_275_,15.56µm
_091_,15.36µm
_226_,15.34µm
_329_,15.22µm
_256_,14.945µm
_013_,14.86µm
_360_,14.86µm
_089_,14.74µm
_337_,14.7µm
_279_,14.6µm
_413_,14.5µm
_085_,14.46µm
_098_,14.45µm
_050_,14.32µm
_371_,14.255µm
_113_,14.22µm
_229_,14.22µm
op_a[6],14.22µm
_220_,14.2µm
_448_,14.19µm
_128_,13.96µm
_176_,13.96µm
_282_,13.96µm
_056_,13.88µm
_441_,13.84µm
_087_,13.835µm
inst[3],13.76µm
_077_,13.72µm
_286_,13.68µm
_426_,13.29µm
_418_,13.26µm
_051_,13.24µm
_142_,13.2µm
_297_,13.18µm
_452_,13.08µm
_395_,13.04µm
_391_,12.82µm
_257_,12.74µm
_456_,12.74µm
_249_,12.7µm
_214_,12.64µm
_170_,12.62µm
_038_,12.585µm
_185_,12.48µm
_280_,12.46µm
_199_,12.44µm
_374_,12.42µm
net23,12.42µm
inst[0],12.38µm
_000_,12.34µm
_216_,12.34µm
_048_,12.32µm
_092_,12.32µm
_419_,12.32µm
_101_,12.22µm
_457_,12.16µm
_307_,12.14µm
_398_,12.12µm
_121_,12.1µm
_351_,12.1µm
op_b[7],12.04µm
_010_,11.98µm
_381_,11.96µm
_399_,11.9µm
_130_,11.835µm
_054_,11.72µm
_298_,11.72µm
_373_,11.7µm
op_out[5],11.7µm
_020_,11.66µm
_303_,11.64µm
_058_,11.62µm
_302_,11.58µm
_198_,11.56µm
_234_,11.54µm
_184_,11.52µm
_132_,11.5µm
_349_,11.46µm
_325_,11.42µm
_431_,11.395µm
_049_,11.26µm
_125_,11.26µm
_248_,11.24µm
_196_,11.205µm
_324_,11.16µm
op_a[5],11.14µm
op_a[4],11.02µm
_358_,10.92µm
_192_,10.86µm
_342_,10.86µm
_352_,10.86µm
_266_,10.82µm
_442_,10.82µm
_346_,10.78µm
op_out[0],10.78µm
net21,10.74µm
_353_,10.7µm
_037_,10.66µm
_350_,10.66µm
_455_,10.64µm
_355_,10.58µm
_445_,10.44µm
_136_,10.38µm
_432_,10.375µm
_097_,10.36µm
_332_,10.36µm
_344_,10.34µm
op_out[3],10.32µm
_232_,10.22µm
op_a[7],10.2µm
inst[1],10.08µm
_225_,9.96µm
_438_,9.95µm
_122_,9.86µm
op_out[4],9.86µm
_046_,9.6µm
op_out[1],9.4µm
_055_,9.32µm
_260_,9.24µm
_093_,9.2µm
op_b[1],9.18µm
_041_,8.98µm
_119_,8.82µm
_045_,8.8µm
op_b[0],8.72µm
op_b[2],8.72µm
_177_,8.7µm
_240_,8.7µm
_075_,8.66µm
_339_,8.66µm
_022_,8.52µm
net22,8.44µm
_384_,8.34µm
_118_,8.22µm
_435_,8.22µm
_120_,8.16µm
_219_,8.12µm
_321_,8.02µm
_334_,7.92µm
_285_,7.9µm
_068_,7.84µm
_106_,7.75µm
_319_,7.7µm
_107_,7.56µm
_451_,7.48µm
op_b[5],7.45µm
_283_,7.42µm
_116_,7.4µm
_190_,7.4µm
_264_,7.4µm
_230_,7.3µm
_251_,7.28µm
_209_,7.24µm
_311_,7.22µm
_379_,7.18µm
_304_,7.105µm
_393_,7.1µm
_202_,7.06µm
_300_,7.06µm
_315_,7.04µm
_124_,6.935µm
_133_,6.92µm
_201_,6.86µm
_420_,6.86µm
_146_,6.76µm
_293_,6.76µm
_145_,6.74µm
_378_,6.72µm
_148_,6.64µm
_439_,6.64µm
_296_,6.62µm
_059_,6.6µm
_063_,6.5µm
_259_,6.5µm
_016_,6.42µm
_074_,6.4µm
_222_,6.32µm
_394_,6.3µm
_348_,6.18µm
_291_,6.16µm
_062_,6.14µm
_336_,6.14µm
_411_,6.12µm
_308_,6.08µm
_401_,6.06µm
