net,length_um
op_a[4],8.72µm
op_b[1],8.72µm
op_b[2],8.72µm
_255_,8.7µm
_026_,8.66µm
_253_,8.62µm
_451_,8.56µm
_307_,8.52µm
_442_,8.52µm
_265_,8.26µm
_106_,8.24µm
_010_,8.18µm
_068_,8.17µm
_393_,8.14µm
_427_,8.12µm
_439_,7.98µm
_094_,7.96µm
_077_,7.955µm
_260_,7.94µm
_341_,7.9µm
_194_,7.88µm
_291_,7.84µm
_322_,7.78µm
_432_,7.78µm
_261_,7.68µm
net22,7.68µm
_201_,7.66µm
_447_,7.64µm
_342_,7.54µm
_132_,7.52µm
_164_,7.52µm
_202_,7.44µm
_274_,7.42µm
_303_,7.32µm
net21,7.32µm
_358_,7.28µm
_193_,7.2µm
_238_,7.2µm
_060_,7.1µm
_059_,7.06µm
_268_,7.06µm
_006_,7µm
_196_,6.975µm
_351_,6.96µm
_259_,6.92µm
_175_,6.735µm
_167_,6.66µm
op_out[6],6.53µm
_245_,6.48µm
_449_,6.4µm
_112_,6.375µm
_001_,6.3µm
_293_,6.3µm
_223_,6.28µm
_137_,6.26µm
_246_,6.24µm
_267_,6.2µm
_353_,6.18µm
_387_,6.18µm
_421_,6.18µm
_011_,6.14µm
_022_,6.14µm
_062_,6.14µm
_183_,6.06µm
_336_,6.06µm
_061_,6.02µm
_296_,5.94µm
_402_,5.94µm
_251_,5.9µm
_304_,5.865µm
_028_,5.86µm
op_a[3],5.85µm
_121_,5.84µm
_327_,5.84µm
_347_,5.82µm
_420_,5.8µm
op_b[4],5.75µm
_300_,5.72µm
net5,5.72µm
op_a[1],5.63µm
op_b[6],5.63µm
_281_,5.6µm
_335_,5.6µm
_384_,5.6µm
_401_,5.6µm
_236_,5.52µm
op_a[0],5.51µm
net73,5.48µm
_363_,5.4µm
_179_,5.34µm
_262_,5.34µm
_411_,5.34µm
op_out[7],5.29µm
_345_,5.28µm
_368_,5.28µm
_131_,5.26µm
_135_,5.14µm
_092_,5.02µm
_096_,4.94µm
_141_,4.92µm
_224_,4.92µm
_029_,4.9µm
_100_,4.88µm
_191_,4.88µm
_214_,4.88µm
_323_,4.88µm
_379_,4.88µm
_437_,4.88µm
op_a[2],4.83µm
_319_,4.82µm
_107_,4.8µm
_250_,4.8µm
_294_,4.8µm
op_b[3],4.61µm
_205_,4.58µm
_302_,4.58µm
_207_,4.56µm
_235_,4.56µm
_273_,4.555µm
net27,4.54µm
_009_,4.49µm
_040_,4.48µm
_140_,4.48µm
_195_,4.46µm
_424_,4.46µm
_367_,4.44µm
_445_,4.36µm
_204_,4.34µm
_311_,4.34µm
_264_,4.22µm
net24,4.22µm
net92,4.22µm
_133_,4.2µm
_313_,4.14µm
_032_,4.1µm
_378_,4.08µm
_376_,4.02µm
_067_,4µm
_146_,4µm
_254_,3.98µm
_404_,3.98µm
_071_,3.88µm
_316_,3.76µm
_231_,3.68µm
_416_,3.68µm
_380_,3.66µm
net78,3.54µm
_005_,3.42µm
_016_,3.42µm
_057_,3.42µm
_144_,3.42µm
_189_,3.42µm
_233_,3.42µm
_362_,3.42µm
_430_,3.42µm
_065_,3.32µm
_111_,3.22µm
_331_,3.18µm
_334_,3.18µm
_377_,3.1µm
_405_,3.1µm
_169_,3.08µm
_178_,3.08µm
